YEAR,DOY,HOUR,MINUTE,SECOND,SPACECRAFT,PLANET_NUMBER,RESPONSE,L_OR_M_MODE,SAVE_PLOT,FIT,ITERATIONS,CHANNELS_CUPA,CHANNELS_CUPB,CHANNELS_CUPC,CHANNELS_CUPD,VARY_V1,VARY_V2,VARY_V3,VARY_DENSITY,VARY_TEMPERATURE,ANALYTICAL_VPHI,V1,V2,V3,COMMON_TEMPERATURE,DELAMERE_COMPOSITION,SPECIES_1,SPECIES_1_A,SPECIES_1_Z,SPECIES_1_N,SPECIES_1_T,SPECIES_2,SPECIES_2_A,SPECIES_2_Z,SPECIES_2_N,SPECIES_2_T,SPECIES_3,SPECIES_3_A,SPECIES_3_Z,SPECIES_3_N,SPECIES_3_T,SPECIES_4,SPECIES_4_A,SPECIES_4_Z,SPECIES_4_N,SPECIES_4_T,SPECIES_5,SPECIES_5_A,SPECIES_5_Z,SPECIES_5_N,SPECIES_5_T,SPECIES_6,SPECIES_6_A,SPECIES_6_Z,SPECIES_6_N,SPECIES_6_T,SPECIES_7,SPECIES_7_A,SPECIES_7_Z,SPECIES_7_N,SPECIES_7_T,SPECIES_8,SPECIES_8_A,SPECIES_8_Z,SPECIES_8_N,SPECIES_8_T
1979,189,19,58,34,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-47.65000153,215,15.80000019,969.0211818,1,4,16,1,0.041475707,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.180000007,50,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,20,0,10,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-47.65000153,205,15.80000019,1994.764725,1,4,16,1,0.040313263,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.180000007,50,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,20,6,34,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-72.73000336,190,0,1041.429571,1,4,16,1,0.055137142,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.180000007,80,4,23,1,0.159999996,0,1,16,1,0.270000011,900
1979,189,20,12,58,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-72.73000336,190,0,1597.411474,1,4,16,1,0.061643906,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.189999998,70,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,20,17,46,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-72.73000336,200,0,1254.878003,1,4,16,1,0.058897298,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.230000004,70,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,21,26,34,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-76.94999695,210.7834778,0,772.7792817,1,4,16,1,0.045985247,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.180000007,120,4,23,1,0.159999996,0,1,16,1,0.419999987,900
1979,189,21,39,22,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-70.87999725,208.7665253,-19.55999947,711.2191846,1,4,16,1,0.050367799,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0,0,4,23,1,0.159999996,0,1,16,1,0.5,1200
1979,189,21,44,10,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-56.11000061,208.0100555,0,846.8043251,1,4,16,1,0.052153207,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.159999996,160,4,23,1,0.159999996,0,1,16,1,0.379999995,1200
1979,189,22,11,22,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-56.11000061,203.7269897,0,410.5189143,1,4,16,1,0.055770283,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.159999996,70,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,22,12,58,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-56.11000061,203.4751587,0,411.2374561,1,4,16,1,0.055947694,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.159999996,70,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,22,14,34,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-56.11000061,182,0,603.2685212,1,4,16,1,0.067822666,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.159999996,70,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,22,16,10,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-56.11000061,182,0,603.3782125,1,4,16,1,0.067919011,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.159999996,70,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,22,17,46,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-56.11000061,184,0,584.5546618,1,4,16,1,0.065502581,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.129999995,70,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,22,19,22,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-56.11000061,185,0,572.3628525,1,4,16,1,0.064691016,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.159999996,70,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,22,20,58,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-56.11000061,195,0,298.5826771,1,4,16,1,0.05272511,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.159999996,70,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,22,22,34,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-56.11000061,195,0,298.6060546,1,4,16,1,0.052665738,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.159999996,55,4,23,1,0.159999996,0,1,16,1,0.200000003,900
1979,189,22,28,58,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-37.68999863,175,-36.13000107,404.0903829,1,4,16,1,0.054090118,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.119999997,45,4,23,1,0.159999996,0,1,16,1,0.600000024,900
1979,189,22,48,10,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-29.77000046,175,0,276.4641669,1,4,16,1,0.051333152,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.150000006,45,4,23,1,0.159999996,0,1,16,1,0.550000012,900
1979,189,23,8,58,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-26.89999962,180,0,450.7423127,1,4,16,1,0.050817102,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.200000003,100,4,23,1,0.159999996,0,1,16,1,0.550000012,900
1979,189,23,13,46,2,5,1,1,0,1,10,0,0,0,30125,0,0,0,1,1,0,-20.94000053,180,0,433.6762437,1,4,16,1,0.049412168,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.159999996,120,4,23,1,0.159999996,0,1,16,1,0.600000024,900
1979,190,4,48,9,2,5,1,1,0,1,10,0,0,0,30125,0,1,0,1,1,0,20,3.509070988,0,38.71196475,1,4,16,1,0.062892768,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.180000007,50,4,23,1,0.159999996,0,1,16,1,1.200000048,900
1979,190,4,54,33,2,5,1,1,0,1,10,0,0,0,30125,0,1,0,1,1,0,20,1.872357225,0,20.58455846,1,4,16,1,0.068900334,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.699999988,50,4,23,1,0.159999996,0,1,16,1,0.600000024,900
1979,190,4,56,9,2,5,1,1,0,1,10,0,0,0,30125,0,1,0,1,1,0,20,1.515096095,0,12.05396894,1,4,16,1,0.051407839,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.699999988,23,4,23,1,0.159999996,0,1,16,1,0.600000024,900
1979,190,5,32,58,2,5,1,1,0,1,10,0,0,0,30125,0,1,0,1,1,0,20,12.50664202,0,220.2655924,1,4,16,1,0.108943736,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0,30,4,23,1,0.159999996,0,1,16,1,0.600000024,900
1979,190,5,34,33,2,5,1,1,0,1,10,0,0,0,30125,0,1,0,1,1,0,20,10.72960163,0,183.5359061,1,4,16,1,0.092010579,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.5,100,4,23,1,0.159999996,0,1,16,1,0.600000024,900
1979,190,5,47,22,2,5,1,1,0,1,10,0,0,0,30125,0,1,0,1,1,0,20,139.1083884,0,2309.576159,1,4,16,1,1.160065723,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.400000006,90,4,23,1,0.159999996,0,1,16,1,0.600000024,900
1979,190,6,32,9,2,5,1,1,0,1,10,0,20090,20090,30125,1,1,1,1,1,0,0,0,0,0,1,4,16,1,0,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.699999988,60,4,23,1,0.159999996,0,1,16,1,0.899999976,900
1979,190,6,33,46,2,5,1,1,0,1,10,0,20090,20090,20100,1,1,1,1,1,0,0,0,0,0,1,4,16,1,0,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.600000024,60,4,23,1,0.159999996,0,1,16,1,0.800000012,1050
1979,190,6,52,57,2,5,1,1,0,1,10,0,20090,20090,20100,1,1,1,1,1,0,0,0,0,0,1,4,16,1,0,0,4,16,2,0.374434114,0,4,32,3,0.369668096,0,4,32,2,0.837135136,0,4,32,1,0.127612054,0,1,1,1,0.649999976,70,4,23,1,0.159999996,0,1,16,1,0.899999976,950
